CVE_EST,NOM_EST,CVE_MUN,NOM_MUN,GINI,Enf_int_xhab,ind_ingreso,IMN_2020,A_ve_m2,PORC_C_ALIM,PERS_C_ASBV,PORC_POB_IILP,PCDISC_MOT,porc_sin_tratar,Porc_ab_msup,pje_pob_15ymas_edbasinc_2020,pib_estatal,PE_INAC,Pob_des,rsu_sin_rec,sup_sin_total,u_panag,Pje_vivnodinter_2020,tasa_unidades_eco,tot_del_fc,PSINDER,VPH_NODREN,p_sind,personal_seguridad ,ec_co2e,uem50,carretera_km,TOT_INV_CARR,TOT_INV_AGUA,TOT_INV_ESPE,SPDCD_T,t_lamp_lumi_alumb_pub,p_disp_seg,pres_eje_seg_mun,pob_ben_beca,Tiendas liconsa
13,Hidalgo,51,Mineral de la Reforma,0.318675,6.50,0.798,0.938,0.136234821,15.38180134,1.400720052,28.78531288,3382,100.00,23.31,12.91,5.69,56846,20.58,"173,299",0.5717226,63.68,32.0,121.6,2916,59328,144,29.26,164,"313,080",15,113.23,395670315.1,131652131.4,157146711.6,47,22289,1435,66 470 553,"9,357.78",1
13,Hidalgo,52,San Agustín Tlaxiaca,0.324111,8.41,0.733,0.889,0.080210084,31.35675931,7.664165382,51.24128014,1166,100.00,30.06,28.98,0.60,11297,4.12,"36,669",1.563986744,67.97,61.8,97.32,331,15445,639,39.71,41,71669,3,203.47,142464345.9,31778698.25,278987288.8,56,4246,377,11 046 492,"8,537.88",6
13,Hidalgo,53,San Bartolo Tutotepec,0.388716,14.18,0.683,0.762,0.18722814,29.15001236,17.10425811,73.73666477,519,96.85,24.74,53.63,0.08,5505,1.17,"16,239",0.153337239,80.25,87.0,49.42,117,1855,855,10.48,42,"10,381",0,289.43,117307073,7691446.13,20996917.29,160,1262,269,13 255 060,"3,110.99",15
13,Hidalgo,54,San Salvador,0.32442,10.57,0.72,0.883,0.189384445,29.65546317,5.285364975,58.98252611,910,100.00,25.89,26.03,0.11,10642,3.07,"24,155",1.822855684,91.5,70.6,180.23,251,10666,457,28.99,20,56881,0,31.69,49632062.99,62541724.51,3833568.35,3,5173,135,24 277 422,"3,214.33",3
13,Hidalgo,55,Santiago de Anaya,0.304251,22.53,0.712,0.868,0.130081596,40.58791371,6.282278048,68.37407826,496,100.00,22.05,29.89,0.10,5194,1.59,"20,295",21.22082485,73.76,77.4,231.68,98,4673,408,25.50,30,231598,1,49.82,79231588.75,10981761.06,20312136.52,29,2918,17,13 580 459,"1,777.84",3
13,Hidalgo,56,Santiago Tulantepec de Lugo Guerrero,0.317049,9.45,0.747,0.901,0.203651292,10.80470842,5.015981641,47.1346598,638,96.85,24.08,28.33,0.51,12096,2.28,"28,477",9.516842105,67.15,55.6,82.29,621,15106,174,38.18,59,"110,553",2,34.89,1247823.39,15992447.11,13518109.08,9,4000,424,29 311 831,"7,766.02",5
13,Hidalgo,57,Singuilucan,0.308331,5.75,0.708,0.857,0.313474286,28.5191788,4.757355007,64.16875016,314,100.00,28.25,40.52,0.17,5424,1.50,"8,570",0.266047123,46.66,84.6,185.28,210,7167,248,47.33,35,84837,1,131.95,33083769.35,7552145.193,1223873.4,10,2037,81,11 219 124,"1,377.21",3
13,Hidalgo,58,Tasquillo,0.339784,22.71,0.71,0.858,0.072017829,30.49845033,4.375022618,62.43522245,586,100.00,24.35,36.88,0.08,6086,1.21,"10,929",0.435051083,89.01,80.4,58.72,61,5355,510,30.70,16,35505,0,89.7,24098339.75,33502164.11,15964618.77,6,3118,60,13 048 534,"1,819.46",9
13,Hidalgo,59,Tecozautla,0.290383,9.16,0.715,0.854,0.114572902,29.58346884,9.246616079,63.96764525,1112,100.00,24.07,39.94,0.16,11527,1.96,"32,712",1.498303182,74.22,88.2,110.5,127,9524,1044,25.06,31,"41,682",0,96.01,54580325.14,10082322.61,18924494.43,9,5304,64,19 906 041,"2,965.86",14
13,Hidalgo,60,Tenango de Doria,0.377961,10.06,0.684,0.834,0.017940681,27.40127241,9.094059256,71.68189226,424,100.00,25.22,46.60,0.04,5187,1.04,"16,904",0.345937287,82.19,83.6,54.39,161,2194,341,12.53,30,15940,0,183.92,248073621.7,12597242.43,34246946.81,2,1190,52,13 095 032,"3,371.58",11
